               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1225,            0.034724,             0.03038,                   0,                   0,                   0,                   0,             0.12658,            0.031398,            0.035234,               1e-05,               1e-05,             0.09991
                   1,             0.12031,             0.03757,             0.02931,                   0,                   0,                   0,                   0,              0.1259,            0.031454,            0.035208,          2.9973e-05,          2.9973e-05,             0.09973
                   2,            0.099377,            0.031669,            0.023623,                   0,                   0,                   0,                   0,             0.12552,            0.031381,            0.035116,          4.9823e-05,          4.9823e-05,             0.09955
                   3,             0.11755,            0.037234,            0.027812,           0.0014793,                0.25,           0.0011138,          0.00033415,             0.12497,            0.031281,            0.035047,          6.9442e-05,          6.9442e-05,            0.099369
                   4,              0.1006,            0.037037,            0.025426,           0.0015128,                0.25,           0.0011296,          0.00033887,             0.12465,             0.03113,            0.034974,          8.8728e-05,          8.8728e-05,            0.099189
                   5,             0.11458,            0.041219,            0.029368,           0.0015989,                0.25,           0.0011917,          0.00035751,             0.12427,            0.030987,            0.034908,          0.00010758,          0.00010758,            0.099008
                   6,             0.11568,            0.036267,            0.029683,           0.0016292,                0.25,           0.0012282,          0.00036846,             0.12404,             0.03083,            0.034707,          0.00012589,          0.00012589,            0.098826
                   7,             0.11933,            0.040264,            0.030414,           0.0016638,                0.25,           0.0012598,          0.00037793,             0.12348,            0.030706,            0.034732,          0.00014358,          0.00014358,            0.098644
                   8,             0.11647,            0.039733,            0.031022,            0.001939,                0.25,           0.0013701,          0.00027402,             0.12316,            0.030596,            0.034652,          0.00016054,          0.00016054,            0.098461
                   9,             0.11449,            0.041764,            0.030224,           0.0019916,                0.25,           0.0014648,          0.00029296,             0.12272,            0.030521,            0.034662,          0.00017669,          0.00017669,            0.098277
                  10,             0.11636,            0.037308,            0.031113,           0.0020737,                0.25,           0.0015593,          0.00031187,             0.12227,             0.03046,             0.03469,          0.00019195,          0.00019195,            0.098092
                  11,             0.11591,            0.041855,            0.029952,           0.0022018,                0.25,           0.0016723,          0.00033446,             0.12177,            0.030387,            0.034739,          0.00020625,          0.00020625,            0.097906
                  12,             0.11444,            0.034741,            0.028742,           0.0026952,                0.25,           0.0017762,          0.00071048,             0.12138,            0.030349,            0.034688,          0.00021951,          0.00021951,             0.09772
